00000001,G,0,100
00000002,N,0,10
00000003,G,0,10
00000004,N,0,10
00000005,G,0,200
00000006,N,0,110
00000007,G,0,1000
00000008,N,0,1000
00000009,G,0,10100
00000010,N,0,10010
00000011,G,0,100000
00000012,N,0,100000
00000013,G,0,1000000
00000014,N,0,1000000
00000015,G,0,999900
00000016,N,0,999990
00000017,G,0,110
00000018,N,0,20
00000019,G,0,100
00000020,N,0,100
00000021,G,0,1100
00000022,N,0,1010
00000023,G,0,10000
00000024,N,0,10000
00000025,G,0,100100
00000026,N,0,100010
00000027,G,0,1000000
00000028,N,0,1000000
00000029,G,0,999999
00000030,N,0,999999